epoch,train_loss,val_loss,max_loss,lr
1,2.390013142994472,2.355351710319519,2.710749626159668,0.001
2,2.32733120237078,55.66428798039754,117.98273468017578,0.001
3,2.301125158582415,19.826880900065103,50.530948638916016,0.001
4,2.3253132104873657,6.055608749389648,11.90419578552246,0.001
5,2.3154082911355154,13.489499180515606,20.457426071166992,0.001
6,2.355842297417777,126.77142882347108,206.93540954589844,0.001
7,2.313085106440953,38.28925375938415,83.43605041503906,0.001
8,2.312369673592704,38.14437396526255,66.1304702758789,0.001
9,2.332698815209525,5.1352862149477,9.13420867919922,0.001
10,2.319605949946812,2.6456385771433517,3.5145649909973145,0.001
11,2.332847581590925,2.6589619755744933,4.110715866088867,0.001
12,2.305166816711426,3.226178346077601,5.748124122619629,0.001
13,2.303682804107666,3.5190688729286195,8.779792785644531,0.001
14,2.298324285234724,2.7565418521563214,5.445870399475098,0.001
15,2.3313407557351247,2.4857232213020324,3.5478310585021973,0.001
16,2.3078212533678326,2.6007874886194866,3.834902048110962,0.001
17,2.312316771915981,2.3779806017875678,3.13260269165039,0.001
18,2.311215264456613,6.236459334691365,9.268806457519531,0.001
19,2.324525765010289,5.659448057413101,12.07713222503662,0.001
20,2.3240670612880163,2.6879875540733336,3.833134651184082,0.001
21,2.311904396329607,2.9608774065971373,5.58268404006958,0.001
22,2.307601356506348,2.551048159599304,3.920554161071777,0.001
23,2.3100517272949217,2.558790918191274,3.714998245239258,0.001
24,2.317259270804269,2.399457108974457,3.461958646774292,0.001
25,2.3161165850503105,3.660088255008062,7.332449436187744,0.001
26,2.290905679975237,2.582518510023753,3.8417367935180655,0.001
27,2.335315220696585,4.906601311763128,8.569231986999512,0.001
28,2.3195172377995084,2.633085779349009,4.247035026550293,0.001
29,2.2978853021349224,2.377396849791209,2.732567310333252,0.001
30,2.338199976512364,2.909196197986603,5.669711589813232,0.001
31,2.289571796144758,4.96025367975235,10.899553298950195,0.001
32,2.32672826222011,4.095648773511251,7.164286613464356,0.001
33,2.327661793572562,13.737706109239175,27.966951370239254,0.001
34,2.312704828807286,4.4184979647398,7.817804336547852,0.001
35,2.330163288116455,12.21903617416198,25.61698532104492,0.001
36,2.308238731111799,2.691371957461039,4.815928936004639,0.001
37,2.318827554157802,3.8496990780035656,6.552889823913574,0.001
38,2.312327310017177,3.1685629924138388,5.848951816558838,0.001
39,2.3207502365112305,3.217261226971944,6.120365142822266,0.001
40,2.285230847767421,2.68206250667572,3.79747462272644,0.001
41,2.2973105907440186,2.7208261052767435,4.182616233825684,0.001
