epoch,train_loss,val_loss,max_loss,lr
1,2.4208801133292064,2.292717464764913,2.447027921676636,0.001
2,2.352971151896885,2.254662036895752,2.585622310638428,0.001
3,2.3336185932159426,2.230051358540853,2.58564567565918,0.001
4,2.316391692842756,2.2339688499768573,2.8454556465148926,0.001
5,2.318205901554653,2.179086514314016,2.629534244537353,0.001
6,2.2877233982086183,2.2120121280352274,2.7680983543396,0.001
7,2.3082769530160085,2.219218269983928,3.0180230140686035,0.001
8,2.32847729410444,2.225884811083476,2.719449520111084,0.001
9,2.3308483600616454,2.14381498893102,2.673292398452759,0.001
10,2.2796262196132115,2.144104818503062,2.73071837425232,0.001
11,2.3067098890032085,2.225022836526235,2.878286838531494,0.001
12,2.292690706253052,2.2367260297139486,2.896161794662476,0.001
13,2.273396941593715,2.214398042360941,3.35233736038208,0.001
14,2.337818207059588,2.183677848180135,3.0154757499694824,0.001
15,2.290236248288836,2.1912743488947557,2.834505796432495,0.001
16,2.321847711290632,2.198112150033315,3.116645336151123,0.001
17,2.2566438061850413,2.1771101077397663,3.286227226257324,0.001
18,2.2457241705485758,2.1330180843671163,3.1319403648376465,0.001
19,2.3400540215628487,2.219115241368612,3.048860549926758,0.001
20,2.2530008486339024,2.2008209307988484,3.49179744720459,0.001
21,2.280938591275896,2.2060715039571126,3.198160171508789,0.001
22,2.2487929514476237,2.266211481889089,3.4330544471740723,0.001
23,2.290375368935721,2.3373621185620626,3.273231029510498,0.001
24,2.293568815503801,2.243707267443339,3.55814266204834,0.001
25,2.2862001146589006,2.2333312233289084,3.493252754211426,0.001
26,2.2912929126194546,2.214304347832998,3.182301998138428,0.001
27,2.296424136843,2.1955377380053203,3.495004177093506,0.001
28,2.2813068049294607,2.1806348005930585,3.584329843521118,0.001
29,2.2698115144457134,2.229056211312612,3.274522304534912,0.001
30,2.2566812549318587,2.218710728486379,3.1992218494415283,0.001
31,2.2776355028152464,2.167159370581309,3.115708589553833,0.001
32,2.270415622847421,2.113268784681956,2.982135534286499,0.001
33,2.264248057774135,2.094050808747609,3.1089677810668945,0.001
34,2.292727664538792,2.2349599997202554,3.010136604309082,0.001
35,2.2405836241585866,2.2889886220296223,3.176835536956787,0.001
36,2.2830667155129567,2.1541073004404705,3.0786852836608887,0.001
37,2.269520037514823,2.140202510356903,3.2314376831054688,0.001
38,2.282124945095607,2.158916974067688,2.8279097080230717,0.001
39,2.261764291354588,2.106904764970144,2.658854961395264,0.001
40,2.2521089111055645,2.1497778415679933,2.84613299369812,0.001
41,2.261763688496181,2.100301770369212,3.2031948566436768,0.001
42,2.2781864132199967,2.220347126324972,3.264044523239136,0.001
43,2.2819460426058087,2.2003401438395183,3.0610132217407227,0.001
