epoch,train_loss,val_loss,max_loss,lr
1,2.88701764856066,2.351169308026632,2.466403007507324,0.001
2,2.509659191540309,4.350738428036372,7.758577346801758,0.001
3,2.4310680730002265,2.805524730682373,4.597287178039551,0.001
4,2.385522106715611,2.326445690790812,3.334701538085937,0.001
5,2.437118124961853,2.358671696980794,3.0637881755828857,0.001
6,2.378303255353655,2.514077285925547,3.528291702270508,0.001
7,2.396828365325928,2.3706783731778462,2.992061138153076,0.001
8,2.4031764234815327,2.40295703013738,2.936460494995117,0.001
9,2.3550926617213657,2.374384387334188,2.7773804664611816,0.001
10,2.4077407019478936,2.4684725205103555,2.9708847999572754,0.001
11,2.369266986846924,2.353159205118815,2.8592045307159424,0.001
12,2.3735013587134226,3.2791092077891038,5.410678863525391,0.001
13,2.460965476717268,3.16545995871226,5.687869548797607,0.001
14,2.35795088495527,2.430445098876953,2.939988374710083,0.001
15,2.3788045133863176,2.351052514712016,3.2920446395874023,0.001
16,2.355257320404053,2.391043003400166,3.0310370922088623,0.001
17,2.386519193649292,2.318493358294169,3.094344139099121,0.001
18,2.3493332862854004,2.344878069559733,2.8085246086120605,0.001
19,2.374482079914638,2.3745256741841634,2.9355602264404297,0.001
20,2.3708598613739014,2.333547306060791,3.081729888916016,0.001
21,2.4361140183040075,2.324671196937561,2.801086187362671,0.001
22,2.372770207268851,2.384933896859487,2.941133499145508,0.001
23,2.4011220387050085,2.3323529958724976,2.814881563186645,0.001
24,2.348240688868932,2.339627742767334,2.7344353199005127,0.001
25,2.3507552487509598,2.3976638555526733,2.8082475662231445,0.001
26,2.3582581315721782,2.326361950238545,2.7963547706604004,0.001
27,2.3708733149937222,2.3716283400853477,2.799032688140869,0.001
28,2.3284299033028737,2.2950550079345704,2.856057643890381,0.001
29,2.360897881644113,2.380658590793609,3.4576199054718018,0.001
30,2.3508018561771937,2.366229248046875,2.726734161376953,0.001
31,2.326100621904646,2.3678963939348856,2.9210429191589355,0.001
32,2.359201628821237,2.3911338726679485,2.818889856338501,0.001
33,2.346983303342547,2.3573230266571046,2.7334184646606445,0.001
34,2.330636991773333,2.5467939535776773,3.5041213035583496,0.001
35,2.376639086859567,2.338064257303874,2.7478504180908203,0.001
36,2.3548220430101665,2.3243914047876992,2.7325148582458496,0.001
37,2.3386032990046908,2.350323867797852,2.72178053855896,0.001
38,2.3057754244123188,2.367897748947144,2.787860155105591,0.001
39,2.3330732890537806,2.3585870901743573,2.660839080810547,0.001
40,2.3553381511143274,2.3208308458328246,2.868745803833008,0.001
41,2.319534090587071,2.355178411801656,2.93884801864624,0.001
42,2.3807777677263533,2.5299771547317507,3.585626602172852,0.001
43,2.3389228752681186,2.3557117780049643,2.806971549987793,0.001
44,2.3169197150639125,2.3363485892613727,2.8981666564941406,0.001
45,2.3436472484043667,2.435073145230611,3.2191498279571533,0.001
46,2.327948583875384,3.293583164612452,6.002586364746094,0.001
47,2.3351619924817766,2.3500083287556968,2.9291677474975586,0.001
48,2.34499078137534,2.323493909835816,2.957139015197754,0.001
49,2.340109552655901,2.3710487922032675,2.766450881958008,0.001
50,2.3582585539136613,2.30247650941213,2.671136379241944,0.001
51,2.36285845211574,2.3384982983271283,2.6186771392822266,0.001
52,2.359489801951817,2.343564256032308,2.8764007091522217,0.001
53,2.322926133019584,2.3376105149586994,2.9436802864074707,0.001
54,2.351853425162179,2.3472512006759643,2.788022518157959,0.001
55,2.357223687853132,2.3731171051661173,2.769185304641724,0.001
56,2.3498337847845896,3.190364489952723,5.045609474182129,0.001
57,2.3537642478942877,2.343551246325175,3.034741878509521,0.001
58,2.31401983669826,2.395297642548879,3.219463348388672,0.001
59,2.346030841554914,2.3967727343241374,2.8966662883758545,0.001
60,2.38336306980678,4.2669602394104,7.716418743133545,0.001
61,2.3691363947732107,2.4089566628138224,2.963871479034424,0.001
62,2.354514149257115,2.3891144037246703,3.0472304821014404,0.001
63,2.345391729899815,2.3662663459777837,2.924866199493408,0.001
64,2.340489952904837,2.3584051450093586,2.732940196990967,0.001
65,2.349054833820888,2.329429074128469,2.7292075157165527,0.001
66,2.340510518210275,2.3299251874287923,2.8496668338775635,0.001
67,2.3152776513780866,3.013133583466212,5.153637409210205,0.001
68,2.330647822788784,2.8099985281626383,4.664104461669922,0.001
69,2.3644765853881835,2.3218563636144003,2.5683279037475586,0.001
70,2.3309831755501884,2.363805397351583,2.689169883728028,0.001
71,2.332453305380685,2.3913578629493712,2.929635524749756,0.001
72,2.319352504185268,3.2578752597173053,5.071213722229004,0.001
73,2.33672913142613,2.5474036296208697,3.3594512939453125,0.001
74,2.311319548743112,2.3556559562683104,2.837566375732422,0.001
75,2.352868495668684,2.32526666323344,2.9211697578430176,0.001
76,2.3236258438655306,2.839316761493683,4.314096450805664,0.001
77,2.3251021248953685,2.4048763195673626,2.7163095474243164,0.001
78,2.32527528490339,2.390134859085083,2.9576072692871094,0.001
79,2.315970502580915,3.47810331483682,5.6050124168396,0.001
80,2.318789631979806,2.643472973505656,3.9277539253234863,0.001
81,2.3103688103812083,2.336742015679677,2.7947888374328613,0.001
82,2.332491036823818,2.379764330387116,2.788646697998047,0.001
83,2.325066314424787,2.6124361435572307,3.541252374649048,0.001
84,2.315805768966675,2.325739260514577,3.11021089553833,0.001
85,2.324695519038609,2.7852612098058063,4.1130876541137695,0.001
86,2.321877370561872,2.322833204269409,2.9748353958129883,0.001
87,2.314943483897618,2.3311309973398844,3.0801498889923096,0.001
88,2.2980147429874966,2.3437145074208576,2.5828824043273926,0.001
89,2.31563663482666,2.318036357561747,2.966622829437256,0.001
90,2.328137990406581,4.454948876798153,6.826601982116699,0.001
91,2.3155871731894355,2.539322654406229,3.356942176818848,0.001
92,2.3254625388554166,6.055410207125048,8.804244041442871,0.001
93,2.3219171251569475,2.330447336037954,3.2925679683685303,0.001
94,2.333553620747157,6.638523525372148,10.40522289276123,0.001
95,2.3106743199484687,2.795495013395945,3.668079376220703,0.001
96,2.3274079322814942,2.31819300254186,3.237514972686768,0.001
97,2.327567059653146,2.824152584870656,3.9167733192443848,0.001
98,2.3228243487221856,2.313182330131531,2.8965487480163574,0.001
99,2.329629237311227,3.086680187781652,4.405241966247559,0.001
100,2.320431171144758,2.3093029657999677,3.0976786613464355,0.001
